"","NAME","TEAM_abb","GP","MPG","ORPM","DRPM","WINS","POSITION","RPM","TEAM_full","SALARY","MSP","y","GP_c","MPG_c"
"248","Fred VanVleet","TOR",37,7.9,-2.44,0.83,0.28," PG",-1.61,"Toronto Raptors",1312611,"False",0,-21.1694444444444,-13.6244444444444
"249","Evan Turner","POR",65,25.5,-3.04,0.15,0.25," SG",-2.89,"Portland Trail Blazers",16393443,"True",1,6.83055555555556,3.97555555555556
"250","Shelvin Mack","UTAH",55,21.9,-1.51,-1.28,0.25," PG",-2.79,"Utah Jazz",2433334,"True",1,-3.16944444444444,0.375555555555554
"251","Miles Plumlee","MIL/CHA",45,10.8,-2.79,0.52,0.25," C",-2.27,"Charlotte Hornets",12500000,"True",1,-13.1694444444444,-10.7244444444444
"252","Dante Exum","UTAH",66,18.6,-2.14,-0.65,0.25," PG",-2.79,"Utah Jazz",3940320,"True",1,7.83055555555556,-2.92444444444444
"253","Adreian Payne","MIN",18,7.5,-1.69,1.36,0.24," PF",-0.33,"Minnesota Timberwolves",2022240,"False",0,-40.1694444444444,-14.0244444444444
"254","Rodney Stuckey","IND",39,17.8,-1.66,-0.91,0.23," PG",-2.57,"Indiana Pacers",7e+06,"False",0,-19.1694444444444,-3.72444444444444
"255","Marshall Plumlee","NY",21,8.1,-1.75,0.65,0.22," C",-1.1,"New York Knicks",1312611,"False",0,-37.1694444444444,-13.4244444444444
"256","Monta Ellis","IND",74,27,-1.32,-1.64,0.21," SG",-2.96,"Indiana Pacers",10763500,"True",1,15.8305555555556,5.47555555555556
"257","Pat Connaughton","POR",39,8.1,-1.28,-0.79,0.21," SG",-2.07,"Portland Trail Blazers",1471382,"False",0,-19.1694444444444,-13.4244444444444
"258","Chasson Randle","NY/PHI",26,11.5,-0.74,-1.36,0.2," PG",-2.1,"New York Knicks",1312611,"False",0,-32.1694444444444,-10.0244444444444
"259","Rakeem Christmas","IND",29,7.6,-2.2,0.5,0.2," PF",-1.7,"Indiana Pacers",1471382,"False",0,-29.1694444444444,-13.9244444444444
"260","Kyle Singler","OKC",32,12,-3.25,0.9,0.19," SF",-2.35,"Oklahoma City Thunder",4837500,"False",0,-26.1694444444444,-9.52444444444444
"261","Anthony Bennett","BKN",23,11.5,-0.76,-1.29,0.19," PF",-2.05,"Brooklyn Nets",1015696,"False",0,-35.1694444444444,-10.0244444444444
"262","Malcolm Delaney","ATL",73,17.1,-2.64,-0.25,0.18," G",-2.89,"Atlanta Hawks",2500000,"True",1,14.8305555555556,-4.42444444444444
"263","Malik Beasley","DEN",22,7.5,-1.74,0.21,0.18," SG",-1.53,"Denver Nuggets",1627320,"False",0,-36.1694444444444,-14.0244444444444
"264","Nick Collison","OKC",20,6.4,-2.18,1.12,0.17," PF",-1.06,"Oklahoma City Thunder",3750000,"False",0,-38.1694444444444,-15.1244444444444
"265","Zach LaVine","MIN",47,37.2,-0.62,-2.35,0.17," PG",-2.97,"Minnesota Timberwolves",2240880,"True",1,-11.1694444444444,15.6755555555556
"266","Mike Miller","DEN",20,7.6,-1.93,0.35,0.16," SG",-1.58,"Denver Nuggets",3500000,"False",0,-38.1694444444444,-13.9244444444444
"267","James Young","BOS",29,7.6,-1.88,-0.28,0.14," SG",-2.16,"Boston Celtics",1825200,"False",0,-29.1694444444444,-13.9244444444444
"268","Christian Wood","CHA",13,8.2,-2.06,0.97,0.13," PF",-1.09,"Charlotte Hornets",874636,"False",0,-45.1694444444444,-13.3244444444444
"269","Treveon Graham","CHA",27,7,-2.19,0.02,0.11," SG",-2.17,"Charlotte Hornets",1312611,"False",0,-31.1694444444444,-14.5244444444444
"270","Noah Vonleh","POR",74,17.1,-4.02,1.03,0.11," PF",-2.99,"Portland Trail Blazers",2751360,"True",1,15.8305555555556,-4.42444444444444
"271","Jared Sullinger","TOR",11,10.7,-2.7,0.9,0.1," C",-1.8,"Toronto Raptors",5628000,"False",0,-47.1694444444444,-10.8244444444444
"272","Henry Ellenson","DET",19,7.7,-2.32,0.38,0.1," F",-1.94,"Detroit Pistons",1704120,"False",0,-39.1694444444444,-13.8244444444444
"273","Udonis Haslem","MIA",16,8.1,-2.79,0.73,0.09," PF",-2.06,"Miami Heat",4e+06,"False",0,-42.1694444444444,-13.4244444444444
"274","Tiago Splitter","PHI",8,9.5,-1.97,0.69,0.09," C",-1.28,"Philadelphia 76ers",8550000,"False",0,-50.1694444444444,-12.0244444444444
"275","Malachi Richardson","SAC",22,9,-2.29,-0.14,0.09," SG",-2.43,"Sacramento Kings",1439800,"False",0,-36.1694444444444,-12.5244444444444
"276","Malachi Richardson","SAC",22,9,-2.29,-0.14,0.09," SG",-2.43,"Sacramento Kings",1504560,"False",0,-36.1694444444444,-12.5244444444444
