"","NAME","TEAM_abb","GP","MPG","ORPM","DRPM","WINS","POSITION","RPM","TEAM_full","SALARY","MSP","y","GP_c","MPG_c"
"16","Otto Porter Jr.","WSH",80,32.6,3.12,0.44,11.21," SF",3.56,"Washington Wizards",5893981,"True",1,21.8305555555556,11.0755555555556
"17","Damian Lillard","POR",75,35.9,4.63,-1.49,10.72," PG",3.14,"Portland Trail Blazers",24328425,"True",1,16.8305555555556,14.3755555555556
"18","Jae Crowder","BOS",72,32.4,2.2,1.69,10.52," SF",3.89,"Boston Celtics",6286408,"True",1,13.8305555555556,10.8755555555556
"19","Mike Conley","MEM",69,33.2,4.67,-0.2,10.5," PG",4.47,"Memphis Grizzlies",26540100,"True",1,10.8305555555556,11.6755555555556
"20","Karl-Anthony Towns","MIN",82,37,3.54,-1.41,10," C",2.13,"Minnesota Timberwolves",5960160,"True",1,23.8305555555556,15.4755555555556
"21","Kemba Walker","CHA",79,34.7,3.93,-1.25,9.95," PG",2.68,"Charlotte Hornets",1.2e+07,"True",1,20.8305555555556,13.1755555555556
"22","John Wall","WSH",78,36.4,3.52,-1.26,9.9," PG",2.26,"Washington Wizards",16957900,"True",1,19.8305555555556,14.8755555555556
"23","Kevin Love","CLE",60,31.4,2.77,2.26,9.76," PF",5.03,"Cleveland Cavaliers",21165675,"True",1,1.83055555555556,9.87555555555555
"24","Gorgui Dieng","MIN",82,32.4,-0.8,3.52,9.73," PF",2.72,"Minnesota Timberwolves",2348783,"True",1,23.8305555555556,10.8755555555556
"25","Paul George","IND",75,35.9,2.67,-0.09,9.72," SF",2.58,"Indiana Pacers",18314532,"True",1,16.8305555555556,14.3755555555556
"26","Klay Thompson","GS",78,34,2.78,-0.45,9.53," SG",2.33,"Golden State Warriors",16663575,"True",1,19.8305555555556,12.4755555555556
"27","Gordon Hayward","UTAH",73,34.5,3.14,-0.08,9.45," SF",3.06,"Utah Jazz",16073140,"True",1,14.8305555555556,12.9755555555556
"28","Myles Turner","IND",81,31.4,0.09,2.57,9.31," C",2.66,"Indiana Pacers",2463840,"True",1,22.8305555555556,9.87555555555555
"29","Trevor Ariza","HOU",80,34.7,0.86,1.07,9.29," SF",1.93,"Houston Rockets",7806971,"True",1,21.8305555555556,13.1755555555556
"30","Bradley Beal","WSH",77,34.9,3.29,-1.04,9.26," SG",2.25,"Washington Wizards",22116750,"True",1,18.8305555555556,13.3755555555556
"31","Blake Griffin","LAC",61,34,3.02,0.76,9.2," PF",3.78,"LA Clippers",20140839,"True",1,2.83055555555556,12.4755555555556
"32","Andre Iguodala","GS",76,26.3,2.01,1.52,8.72," SF",3.53,"Golden State Warriors",11131368,"True",1,17.8305555555556,4.77555555555556
"33","Ricky Rubio","MIN",75,32.9,1.73,0.76,8.72," PG",2.49,"Minnesota Timberwolves",13550000,"True",1,16.8305555555556,11.3755555555556
"34","Marc Gasol","MEM",74,34.2,1.86,0.72,8.69," C",2.58,"Memphis Grizzlies",21165675,"True",1,15.8305555555556,12.6755555555556
"35","Danilo Gallinari","DEN",63,33.9,2.67,0.21,8.39," SF",2.88,"Denver Nuggets",15050000,"True",1,4.83055555555556,12.3755555555556
"36","Kyrie Irving","CLE",72,35.1,4.35,-2.3,8.28," PG",2.05,"Cleveland Cavaliers",17638063,"True",1,13.8305555555556,13.5755555555556
"37","Isaiah Thomas","BOS",76,33.8,5.72,-3.89,8.19," PG",1.83,"Boston Celtics",6587132,"True",1,17.8305555555556,12.2755555555556
"38","Jeff Teague","IND",82,32.4,1.86,-0.22,8.08," PG",1.64,"Indiana Pacers",8800000,"True",1,23.8305555555556,10.8755555555556
"39","Markieff Morris","WSH",76,31.2,-0.55,2.41,7.61," PF",1.86,"Washington Wizards",7400000,"True",1,17.8305555555556,9.67555555555555
"40","Brook Lopez","BKN",75,29.6,1.4,0.55,7.59," C",1.95,"Brooklyn Nets",21165675,"True",1,16.8305555555556,8.07555555555556
"41","CJ McCollum","POR",80,35,3.01,-1.87,7.52," SG",1.14,"Portland Trail Blazers",3219579,"True",1,21.8305555555556,13.4755555555556
"42","James Johnson","MIA",76,27.4,0.42,1.94,7.31," PF",2.36,"Miami Heat",4e+06,"True",1,17.8305555555556,5.87555555555555
"43","Amir Johnson","BOS",80,20.1,0.22,3.58,7.02," PF",3.8,"Boston Celtics",1.2e+07,"True",1,21.8305555555556,-1.42444444444444
"44","Steven Adams","OKC",80,29.9,-0.3,1.68,7.01," C",1.38,"Oklahoma City Thunder",3140517,"True",1,21.8305555555556,8.37555555555555
"45","Cody Zeller","CHA",62,27.8,-0.07,3.42,6.97," C",3.35,"Charlotte Hornets",5318313,"True",1,3.83055555555556,6.27555555555556
"46","Al Horford","BOS",68,32.3,0.76,1.06,6.93," C",1.82,"Boston Celtics",26540100,"True",1,9.83055555555556,10.7755555555556
"47","Jrue Holiday","NO",67,32.7,0.64,1.18,6.89," PG",1.82,"New Orleans Pelicans",11286518,"True",1,8.83055555555556,11.1755555555556
"48","Victor Oladipo","OKC",67,33.2,0.1,1.56,6.88," SG",1.66,"Oklahoma City Thunder",6552961,"True",1,8.83055555555556,11.6755555555556
"49","Eric Bledsoe","PHX",66,33,2.33,-0.64,6.85," PG",1.69,"Phoenix Suns",1.4e+07,"True",1,7.83055555555556,11.4755555555556
"50","Ersan Ilyasova","ATL/PHI/OKC",82,26.1,0.98,0.74,6.83," PF",1.72,"Oklahoma City Thunder",8400000,"True",1,23.8305555555556,4.57555555555556
"51","Nicolas Batum","CHA",77,34,1.3,-0.35,6.73," SG",0.95,"Charlotte Hornets",20869566,"True",1,18.8305555555556,12.4755555555556
"52","Andre Roberson","OKC",79,30.1,-1.4,2.64,6.73," SG",1.24,"Oklahoma City Thunder",2183072,"True",1,20.8305555555556,8.57555555555556
"53","Joe Ingles","UTAH",82,24,2.29,0.26,6.68," SF",2.55,"Utah Jazz",2150000,"True",1,23.8305555555556,2.47555555555556
"54","Tobias Harris","DET",82,31.3,1.19,-0.25,6.55," SF",0.94,"Detroit Pistons",17200000,"True",1,23.8305555555556,9.77555555555556
"55","Kristaps Porzingis","NY",66,32.8,-0.31,1.9,6.54," PF",1.59,"New York Knicks",4317720,"True",1,7.83055555555556,11.2755555555556
"56","Ryan Anderson","HOU",72,29.4,1.63,-0.12,6.46," PF",1.51,"Houston Rockets",18735364,"True",1,13.8305555555556,7.87555555555555
"57","Eric Gordon","HOU",75,31,1.51,-0.48,6.36," SG",1.03,"Houston Rockets",12385364,"True",1,16.8305555555556,9.47555555555556
"58","Goran Dragic","MIA",73,33.7,2.54,-1.62,6.3," PG",0.92,"Miami Heat",15891725,"True",1,14.8305555555556,12.1755555555556
"59","George Hill","UTAH",49,31.5,2.64,1.11,6.28," PG",3.75,"Utah Jazz",8e+06,"True",1,-9.16944444444444,9.97555555555556
"60","PJ Tucker","PHX/TOR",81,27.6,-0.69,1.78,5.98," SF",1.09,"Toronto Raptors",5300000,"True",1,22.8305555555556,6.07555555555556
"61","Marcus Smart","BOS",79,30.4,0.26,0.49,5.98," PG",0.75,"Boston Celtics",3578880,"True",1,20.8305555555556,8.87555555555555
"62","Marcus Morris","DET",79,32.5,-0.11,0.63,5.85," PF",0.52,"Detroit Pistons",4625000,"True",1,20.8305555555556,10.9755555555556
"63","LaMarcus Aldridge","SA",72,32.4,-0.09,1.05,5.79," PF",0.96,"San Antonio Spurs",20575005,"True",1,13.8305555555556,10.8755555555556
"64","Serge Ibaka","ORL/TOR",79,30.7,-0.51,1.08,5.7," PF",0.57,"Toronto Raptors",12250000,"True",1,20.8305555555556,9.17555555555555
"65","Nikola Mirotic","CHI",70,24,0.92,1.31,5.69," PF",2.23,"Chicago Bulls",5782450,"True",1,11.8305555555556,2.47555555555556
"66","Maurice Harkless","POR",77,28.9,0.38,0.49,5.67," SF",0.87,"Portland Trail Blazers",8988765,"True",1,18.8305555555556,7.37555555555555
"67","Thaddeus Young","IND",74,30.2,-1.09,1.94,5.66," PF",0.85,"Indiana Pacers",14153652,"True",1,15.8305555555556,8.67555555555555
"68","Dwight Howard","ATL",74,29.7,-1.7,2.6,5.65," C",0.9,"Atlanta Hawks",23180275,"True",1,15.8305555555556,8.17555555555555
"69","Mason Plumlee","DEN/POR",81,26.5,0.71,0.22,5.6," C",0.93,"Portland Trail Blazers",2328530,"True",1,22.8305555555556,4.97555555555556
"70","Pau Gasol","SA",64,25.4,0.86,1.49,5.48," C",2.35,"San Antonio Spurs",15500000,"True",1,5.83055555555556,3.87555555555555
"71","Tim Hardaway Jr.","ATL",79,27.3,1.9,-1.08,5.45," SG",0.82,"Atlanta Hawks",2281605,"True",1,20.8305555555556,5.77555555555556
"72","Nikola Vucevic","ORL",75,28.8,-1.38,2.15,5.44," C",0.77,"Orlando Magic",11750000,"True",1,16.8305555555556,7.27555555555556
"73","Patrick Patterson","TOR",65,24.6,1.05,1.26,5.4," PF",2.31,"Toronto Raptors",6050000,"True",1,6.83055555555556,3.07555555555556
"74","Solomon Hill","NO",80,29.7,-1.06,1.49,5.4," SF",0.43,"New Orleans Pelicans",11241218,"True",1,21.8305555555556,8.17555555555555
"75","Elfrid Payton","ORL",82,29.4,1.12,-0.78,5.38," PG",0.34,"Orlando Magic",2613600,"True",1,23.8305555555556,7.87555555555555
"76","Greg Monroe","MIL",81,22.5,1.08,0.47,5.34," C",1.55,"Milwaukee Bucks",17145838,"True",1,22.8305555555556,0.975555555555555
"77","Aaron Gordon","ORL",80,28.7,1.25,-0.78,5.32," PF",0.47,"Orlando Magic",4351320,"True",1,21.8305555555556,7.17555555555555
"78","Michael Kidd-Gilchrist","CHA",81,29,-1.97,2.47,5.31," SF",0.5,"Charlotte Hornets",1.3e+07,"True",1,22.8305555555556,7.47555555555556
"79","Carmelo Anthony","NY",74,34.3,1.87,-1.75,5.26," SF",0.12,"New York Knicks",24559380,"True",1,15.8305555555556,12.7755555555556
"80","Wesley Matthews","DAL",73,34.2,0.09,0.11,5.06," SG",0.2,"Dallas Mavericks",17145838,"True",1,14.8305555555556,12.6755555555556
"81","Marcin Gortat","WSH",82,31.2,-1.25,1.18,5.01," C",-0.07,"Washington Wizards",1.2e+07,"True",1,23.8305555555556,9.67555555555555
"82","Patty Mills","SA",80,21.9,2.53,-1.26,4.86," PG",1.27,"San Antonio Spurs",3578948,"True",1,21.8305555555556,0.375555555555554
"83","Al-Farouq Aminu","POR",61,29.1,-1.86,3.13,4.86," SF",1.27,"Portland Trail Blazers",7680965,"True",1,2.83055555555556,7.57555555555556
"84","Danny Green","SA",68,26.6,-0.45,1.71,4.83," SG",1.26,"San Antonio Spurs",1e+07,"True",1,9.83055555555556,5.07555555555556
"85","Vince Carter","MEM",73,24.7,1.36,-0.06,4.81," SG",1.3,"Memphis Grizzlies",4264057,"True",1,14.8305555555556,3.17555555555555
"86","Tyler Johnson","MIA",73,29.8,0.13,0.18,4.72," SG",0.31,"Miami Heat",5628000,"True",1,14.8305555555556,8.27555555555556
"87","DeMarre Carroll","TOR",72,26.1,0,0.83,4.66," SF",0.83,"Toronto Raptors",14200000,"True",1,13.8305555555556,4.57555555555556
"88","Manu Ginobili","SA",69,18.7,1.43,1,4.64," SG",2.43,"San Antonio Spurs",1.4e+07,"True",1,10.8305555555556,-2.82444444444445
"89","Tristan Thompson","CLE",78,29.9,-1.31,1.31,4.62," C",0,"Cleveland Cavaliers",15330435,"True",1,19.8305555555556,8.37555555555555
"90","Dewayne Dedmon","SA",76,17.5,-1.63,3.94,4.49," C",2.31,"San Antonio Spurs",2898000,"True",1,17.8305555555556,-4.02444444444444
"91","Ish Smith","DET",81,24.1,0.28,0.25,4.48," PG",0.53,"Detroit Pistons",6e+06,"True",1,22.8305555555556,2.57555555555556
"92","Luc Mbah a Moute","LAC",80,22.3,-1.56,2.32,4.43," PF",0.76,"LA Clippers",2203000,"True",1,21.8305555555556,0.775555555555556
"93","Frank Kaminsky","CHA",75,26.1,0.96,-0.51,4.4," C",0.45,"Charlotte Hornets",2730000,"True",1,16.8305555555556,4.57555555555556
"94","Nene Hilario","HOU",67,17.9,-1.31,3.62,4.39," C",2.31,"Houston Rockets",2898000,"True",1,8.83055555555556,-3.62444444444445
"95","Marvin Williams","CHA",76,30.2,-0.02,-0.07,4.36," PF",-0.09,"Charlotte Hornets",12250000,"True",1,17.8305555555556,8.67555555555555
"96","Taj Gibson","CHI/OKC",78,25.5,-1.76,2.02,4.29," PF",0.26,"Oklahoma City Thunder",8950000,"True",1,19.8305555555556,3.97555555555556
"97","Gary Harris","DEN",57,31.3,2.88,-2.37,4.29," SG",0.51,"Denver Nuggets",1655880,"True",1,-1.16944444444444,9.77555555555556
"98","Jameer Nelson","DEN",75,27.3,0.45,-0.44,4.17," PG",0.01,"Denver Nuggets",4540525,"True",1,16.8305555555556,5.77555555555556
"99","Jonas Valanciunas","TOR",80,25.8,-0.74,0.75,4.06," C",0.01,"Toronto Raptors",14382023,"True",1,21.8305555555556,4.27555555555556
"100","Terrence Ross","ORL/TOR",78,25.1,1.36,-1.23,4.06," SF",0.13,"Toronto Raptors",1e+07,"True",1,19.8305555555556,3.57555555555556
"101","Lucas Nogueira","TOR",57,19.1,-0.61,3.34,4.03," C",2.73,"Toronto Raptors",1921320,"True",1,-1.16944444444444,-2.42444444444444
"102","Kentavious Caldwell-Pope","DET",76,33.3,0.71,-1.31,4.02," SG",-0.6,"Detroit Pistons",3678319,"True",1,17.8305555555556,11.7755555555556
"103","David Lee","SA",79,18.7,-0.38,1.5,3.98," PF",1.12,"San Antonio Spurs",1551659,"True",1,20.8305555555556,-2.82444444444445
"104","Jared Dudley","PHX",64,21.3,-0.67,1.89,3.94," SF",1.22,"Phoenix Suns",10470000,"True",1,5.83055555555556,-0.224444444444444
"105","JJ Redick","LAC",78,28.2,1.73,-2.11,3.86," SG",-0.38,"LA Clippers",7377500,"True",1,19.8305555555556,6.67555555555555
"106","CJ Miles","IND",76,23.4,1.3,-0.95,3.85," SF",0.35,"Indiana Pacers",4583450,"True",1,17.8305555555556,1.87555555555555
"107","Nick Young","LAL",60,25.9,2.28,-1.63,3.82," SG",0.65,"Los Angeles Lakers",5443918,"True",1,1.83055555555556,4.37555555555555
"108","Tony Allen","MEM",71,27,-2.03,2.15,3.76," SG",0.12,"Memphis Grizzlies",5505618,"True",1,12.8305555555556,5.47555555555556
"109","Channing Frye","CLE",74,18.9,1.62,-0.58,3.7," PF",1.04,"Cleveland Cavaliers",7806971,"True",1,15.8305555555556,-2.62444444444445
"110","Marreese Speights","LAC",82,15.7,0.67,0.69,3.66," PF",1.36,"LA Clippers",1403611,"True",1,23.8305555555556,-5.82444444444445
"111","Wayne Ellington","MIA",62,24.2,2.26,-1.6,3.58," SG",0.66,"Miami Heat",6e+06,"True",1,3.83055555555556,2.67555555555555
"112","Tyson Chandler","PHX",47,27.6,-1.06,2.2,3.55," C",1.14,"Phoenix Suns",12415000,"True",1,-11.1694444444444,6.07555555555556
"113","Thabo Sefolosha","ATL",62,25.7,-1.93,2.27,3.55," SF",0.34,"Atlanta Hawks",3850000,"True",1,3.83055555555556,4.17555555555555
"114","Kelly Olynyk","BOS",75,20.5,-0.31,0.81,3.54," C",0.5,"Boston Celtics",3094014,"True",1,16.8305555555556,-1.02444444444444
"115","Darren Collison","SAC",68,30.3,1.06,-1.47,3.44," PG",-0.41,"Sacramento Kings",5229454,"True",1,9.83055555555556,8.77555555555556
"116","Courtney Lee","NY",77,31.9,0.58,-1.51,3.4," SG",-0.93,"New York Knicks",11242000,"True",1,18.8305555555556,10.3755555555556
"117","Jusuf Nurkic","DEN/POR",65,21.4,-2.11,2.73,3.32," C",0.62,"Portland Trail Blazers",1921320,"True",1,6.83055555555556,-0.124444444444446
"118","Trevor Booker","BKN",71,24.7,-2.29,2,3.3," PF",-0.29,"Brooklyn Nets",9250000,"True",1,12.8305555555556,3.17555555555555
"119","Tony Snell","MIL",80,29.2,-0.02,-0.85,3.29," SF",-0.87,"Milwaukee Bucks",2368327,"True",1,21.8305555555556,7.67555555555555
"120","Rondae Hollis-Jefferson","BKN",78,22.6,-2.16,1.78,3.29," SG",-0.38,"Brooklyn Nets",1395600,"True",1,19.8305555555556,1.07555555555556
"121","Devin Booker","PHX",78,35,1.28,-2.58,3.29," SG",-1.3,"Phoenix Suns",2223600,"True",1,19.8305555555556,13.4755555555556
"122","Nemanja Bjelica","MIN",65,18.3,-0.71,1.94,3.24," PF",1.23,"Minnesota Timberwolves",3800000,"True",1,6.83055555555556,-3.22444444444444
"123","Rudy Gay","SAC",30,33.8,-0.21,1.96,3.1," SF",1.75,"Sacramento Kings",13333333,"False",0,-28.1694444444444,12.2755555555556
"124","Jerian Grant","CHI",63,16.3,0.5,1.07,3.03," PG",1.57,"Chicago Bulls",1643040,"True",1,4.83055555555556,-5.22444444444444
"125","Dirk Nowitzki","DAL",54,26.4,-0.38,0.64,3.02," PF",0.26,"Dallas Mavericks",2.5e+07,"True",1,-4.16944444444444,4.87555555555555
"126","Nerlens Noel","DAL/PHI",51,20.5,-1.33,2.58,2.95," PF",1.25,"Philadelphia 76ers",4384490,"True",1,-7.16944444444444,-1.02444444444444
"127","Andrew Wiggins","MIN",82,37.2,1.56,-3.16,2.94," SG",-1.6,"Minnesota Timberwolves",6006600,"True",1,23.8305555555556,15.6755555555556
"128","Evan Fournier","ORL",68,32.9,0.07,-1.17,2.89," SG",-1.1,"Orlando Magic",1.7e+07,"True",1,9.83055555555556,11.3755555555556
"129","Dion Waiters","MIA",46,30.1,0.12,-0.07,2.8," SG",0.05,"Miami Heat",2898000,"True",1,-12.1694444444444,8.57555555555556
"130","Kosta Koufos","SAC",71,20,-2.78,2.83,2.79," C",0.05,"Sacramento Kings",8046500,"True",1,12.8305555555556,-1.52444444444444
"131","Jon Leuer","DET",75,25.9,-1.43,0.58,2.78," PF",-0.85,"Detroit Pistons",10991957,"True",1,16.8305555555556,4.37555555555555
"132","Luol Deng","LAL",56,26.5,-1.87,1.54,2.69," SF",-0.33,"Los Angeles Lakers",1.8e+07,"True",1,-2.16944444444444,4.97555555555556
"133","Wilson Chandler","DEN",71,30.9,0.3,-1.54,2.69," SF",-1.24,"Denver Nuggets",11233146,"True",1,12.8305555555556,9.37555555555555
"134","Garrett Temple","SAC",65,26.6,-0.14,-0.46,2.67," SG",-0.6,"Sacramento Kings",8e+06,"True",1,6.83055555555556,5.07555555555556
"135","Aron Baynes","DET",75,15.5,-2.45,2.93,2.63," C",0.48,"Detroit Pistons",6500000,"True",1,16.8305555555556,-6.02444444444444
"136","Jabari Parker","MIL",51,33.9,0.83,-1.61,2.59," PF",-0.78,"Milwaukee Bucks",5374320,"True",1,-7.16944444444444,12.3755555555556
"137","Joe Johnson","UTAH",78,23.6,0.79,-1.56,2.58," SF",-0.77,"Utah Jazz",1.1e+07,"True",1,19.8305555555556,2.07555555555556
"138","Devin Harris","DAL",65,16.7,0.38,0.32,2.58," PG",0.7,"Dallas Mavericks",4227996,"True",1,6.83055555555556,-4.82444444444445
"139","Dwyane Wade","CHI",60,29.9,-0.45,-0.46,2.52," SG",-0.91,"Chicago Bulls",23200000,"True",1,1.83055555555556,8.37555555555555
"140","James Ennis III","MEM",64,23.5,-1.13,1.4,2.48," SF",0.27,"Memphis Grizzlies",2898000,"True",1,5.83055555555556,1.97555555555556
"141","Joel Embiid","PHI",31,25.4,-0.57,2.27,2.46," C",1.7,"Philadelphia 76ers",4826160,"False",0,-27.1694444444444,3.87555555555555
"142","Khris Middleton","MIL",29,30.7,0.14,1.26,2.44," SG",1.4,"Milwaukee Bucks",15200000,"False",0,-29.1694444444444,9.17555555555555
"143","Iman Shumpert","CLE",76,25.5,-0.98,-0.16,2.43," SG",-1.14,"Cleveland Cavaliers",9662922,"True",1,17.8305555555556,3.97555555555556
"144","Robin Lopez","CHI",81,28,-2.07,0.63,2.42," C",-1.44,"Chicago Bulls",13219250,"True",1,22.8305555555556,6.47555555555556
"145","Kent Bazemore","ATL",73,26.9,-0.69,-0.5,2.41," SF",-1.19,"Atlanta Hawks",15730338,"True",1,14.8305555555556,5.37555555555555
"146","Enes Kanter","OKC",72,21.3,0.56,-1.24,2.4," C",-0.68,"Oklahoma City Thunder",17145838,"True",1,13.8305555555556,-0.224444444444444
"147","Willy Hernangomez","NY",72,18.4,-0.75,0.4,2.37," C",-0.35,"New York Knicks",1435750,"True",1,13.8305555555556,-3.12444444444445
"148","Kyle O'Quinn","NY",79,15.6,-1.28,1.16,2.31," C",-0.12,"New York Knicks",3918750,"True",1,20.8305555555556,-5.92444444444445
"149","Dante Cunningham","NO",66,25,-0.37,-0.56,2.29," PF",-0.93,"New Orleans Pelicans",2978250,"True",1,7.83055555555556,3.47555555555556
"150","Rodney Hood","UTAH",59,27,-0.26,-0.51,2.23," SG",-0.77,"Utah Jazz",1406520,"True",1,0.830555555555556,5.47555555555556
"151","Jeremy Lin","BKN",36,24.5,0.48,-0.03,2.21," PG",0.45,"Brooklyn Nets",11483254,"False",0,-22.1694444444444,2.97555555555556
"152","Will Barton","DEN",60,28.4,0.05,-1.2,2.2," SG",-1.15,"Denver Nuggets",3533333,"True",1,1.83055555555556,6.87555555555555
"153","Marco Belinelli","CHA",74,24,0.67,-1.87,2.15," SG",-1.2,"Charlotte Hornets",6333333,"True",1,15.8305555555556,2.47555555555556
"154","Brandon Jennings","NY/WSH",81,22.2,0.25,-1.5,2.15," PG",-1.25,"Washington Wizards",5e+06,"True",1,22.8305555555556,0.675555555555555
"155","JaVale McGee","GS",77,9.6,0.83,0.11,2.04," C",0.94,"Golden State Warriors",1403611,"True",1,18.8305555555556,-11.9244444444444
"156","Corey Brewer","HOU/LAL",82,15.6,-1.75,1,1.99," SG",-0.75,"Los Angeles Lakers",7612172,"True",1,23.8305555555556,-5.92444444444445
"157","Jamal Murray","DEN",82,21.5,0.06,-1.57,1.86," G",-1.51,"Denver Nuggets",3210840,"True",1,23.8305555555556,-0.0244444444444447
"158","Zach Randolph","MEM",73,24.5,-0.37,-1.05,1.83," PF",-1.42,"Memphis Grizzlies",10361445,"True",1,14.8305555555556,2.97555555555556
"159","Julius Randle","LAL",74,28.8,-0.79,-1.03,1.83," PF",-1.82,"Los Angeles Lakers",3267120,"True",1,15.8305555555556,7.27555555555556
"160","Tarik Black","LAL",67,16.3,-2.5,1.96,1.81," C",-0.54,"Los Angeles Lakers",6191000,"True",1,8.83055555555556,-5.22444444444444
"161","Jason Smith","WSH",74,14.4,-1.08,0.54,1.75," PF",-0.54,"Washington Wizards",5e+06,"True",1,15.8305555555556,-7.12444444444444
"162","Dario Saric","PHI",81,26.3,-1.25,-0.62,1.74," SF",-1.87,"Philadelphia 76ers",2318280,"True",1,22.8305555555556,4.77555555555556
"163","Derrick Favors","UTAH",50,23.7,-2.76,2.06,1.73," PF",-0.7,"Utah Jazz",11050000,"True",1,-8.16944444444444,2.17555555555555
"164","Willie Cauley-Stein","SAC",75,18.9,-2.07,0.9,1.72," C",-1.17,"Sacramento Kings",3551160,"True",1,16.8305555555556,-2.62444444444445
"165","D'Angelo Russell","LAL",63,28.7,0.75,-2.45,1.69," PG",-1.7,"Los Angeles Lakers",5332800,"True",1,4.83055555555556,7.17555555555555
"166","Terry Rozier","BOS",74,17.1,-1.05,-0.01,1.65," PG",-1.06,"Boston Celtics",1906440,"True",1,15.8305555555556,-4.42444444444444
"167","Sam Dekker","HOU",77,18.4,0.05,-1.42,1.64," SF",-1.37,"Houston Rockets",1720560,"True",1,18.8305555555556,-3.12444444444445
"168","Jonas Jerebko","BOS",78,15.8,-0.89,-0.14,1.63," PF",-1.03,"Boston Celtics",5e+06,"True",1,19.8305555555556,-5.72444444444444
"169","Austin Rivers","LAC",74,27.8,-0.17,-1.73,1.62," PG",-1.9,"LA Clippers",1.1e+07,"True",1,15.8305555555556,6.27555555555556
"170","Dwight Powell","DAL",77,17.3,-0.66,-0.51,1.58," PF",-1.17,"Dallas Mavericks",8375000,"True",1,18.8305555555556,-4.22444444444444
"171","Josh Richardson","MIA",53,30.5,-1.63,0.06,1.57," SG",-1.57,"Miami Heat",1471382,"True",1,-5.16944444444444,8.97555555555556
"172","Matthew Dellavedova","MIL",76,26.1,-0.88,-1.01,1.54," PG",-1.89,"Milwaukee Bucks",9607500,"True",1,17.8305555555556,4.57555555555556
"173","Caris LeVert","BKN",57,21.7,-0.46,-0.84,1.53," SG",-1.3,"Brooklyn Nets",1562280,"True",1,-1.16944444444444,0.175555555555555
"174","Rajon Rondo","CHI",69,26.7,-1.35,-0.49,1.51," PG",-1.84,"Chicago Bulls",1.4e+07,"True",1,10.8305555555556,5.17555555555555
"175","E'Twaun Moore","NO",73,24.9,-0.24,-1.58,1.5," SG",-1.82,"New Orleans Pelicans",8081363,"True",1,14.8305555555556,3.37555555555555
"176","Meyers Leonard","POR",74,16.5,-1.5,0.26,1.48," PF",-1.24,"Portland Trail Blazers",9213483,"True",1,15.8305555555556,-5.02444444444444
"177","Langston Galloway","NO/SAC",74,20.2,0.1,-1.65,1.46," SG",-1.55,"Sacramento Kings",5200000,"True",1,15.8305555555556,-1.32444444444445
"178","Ian Mahinmi","WSH",31,17.9,-2.22,3.11,1.44," C",0.89,"Washington Wizards",15944154,"False",0,-27.1694444444444,-3.62444444444445
"179","Tony Parker","SA",63,25.2,-0.69,-0.97,1.42," PG",-1.66,"San Antonio Spurs",14445313,"True",1,4.83055555555556,3.67555555555555
"180","Tyus Jones","MIN",60,12.9,0.11,-0.34,1.4," PG",-0.23,"Minnesota Timberwolves",1471382,"True",1,1.83055555555556,-8.62444444444444
"181","Andrew Harrison","MEM",72,20.5,-1.2,-0.38,1.38," PG",-1.58,"Memphis Grizzlies",1312611,"True",1,13.8305555555556,-1.02444444444444
"182","JR Smith","CLE",41,29,-0.32,-0.98,1.37," SG",-1.3,"Cleveland Cavaliers",12800000,"True",1,-17.1694444444444,7.47555555555556
"183","TJ Warren","PHX",66,31,0.3,-2.44,1.34," SF",-2.14,"Phoenix Suns",2128920,"True",1,7.83055555555556,9.47555555555556
"184","Joakim Noah","NY",46,22.1,-2.23,1.17,1.32," C",-1.06,"New York Knicks",1.7e+07,"True",1,-12.1694444444444,0.575555555555557
"185","Jeremy Lamb","CHA",62,18.4,0.04,-1.32,1.31," SG",-1.28,"Charlotte Hornets",6511628,"True",1,3.83055555555556,-3.12444444444445
"186","Kenneth Faried","DEN",61,21.2,-0.07,-1.55,1.27," PF",-1.62,"Denver Nuggets",12078652,"True",1,2.83055555555556,-0.324444444444445
"187","Roy Hibbert","DEN/CHA",48,14.2,-2.48,2.08,1.21," C",-0.4,"Charlotte Hornets",5e+06,"True",1,-10.1694444444444,-7.32444444444445
"188","Andrew Bogut","CLE/DAL",27,21.6,-4.01,4.34,1.2," C",0.33,"Cleveland Cavaliers",242224,"False",0,-31.1694444444444,0.0755555555555567
"189","Taurean Prince","ATL",59,16.6,-3.7,2.47,1.2," SF",-1.23,"Atlanta Hawks",2318280,"True",1,0.830555555555556,-4.92444444444444
"190","Derrick Rose","NY",64,32.5,0.11,-2.36,1.17," PG",-2.25,"New York Knicks",21323252,"True",1,5.83055555555556,10.9755555555556
"191","Mirza Teletovic","MIL",70,16.2,-1.05,-0.44,1.16," PF",-1.49,"Milwaukee Bucks",10500000,"True",1,11.8305555555556,-5.32444444444445
"192","Domantas Sabonis","OKC",81,20.1,-3.9,1.86,1.14," PF",-2.04,"Oklahoma City Thunder",2440200,"True",1,22.8305555555556,-1.42444444444444
"193","Avery Bradley","BOS",55,33.4,-0.44,-1.72,1.13," PG",-2.16,"Boston Celtics",8269663,"True",1,-3.16944444444444,11.8755555555556
"194","Timothe Luwawu-Cabarrot","PHI",69,17.2,-2.27,0.57,1.11," SG",-1.7,"Philadelphia 76ers",1386600,"True",1,10.8305555555556,-4.32444444444445
